"","HZ","low_bin","high_bin","date","chips","expert","institution","last.in.field","experience.ide","p","chips.all.experts","p.all.experts","expert.date","forecast.month"
"16","BENI",18,20,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,2,0.0333333333333333,"expert 12 25-10-2019","November 2019"
"17","BENI",18,20,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,2,0.0333333333333333,"expert 15 25-10-2019","November 2019"
"18","BENI",18,20,"25-10-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,2,0.0333333333333333,"expert 7 25-10-2019","November 2019"
"19","BENI",2,4,"25-10-2019",6,"15","LSHTM","<2 weeks ago","<5 years",0.3,11,0.183333333333333,"expert 15 25-10-2019","November 2019"
"20","BENI",2,4,"25-10-2019",4,"7","LSHTM","<2 weeks ago","<5 years",0.2,11,0.183333333333333,"expert 7 25-10-2019","November 2019"
"21","BENI",2,4,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,11,0.183333333333333,"expert 12 25-10-2019","November 2019"
"22","BENI",20,22,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,1,0.0166666666666667,"expert 12 25-10-2019","November 2019"
"23","BENI",20,22,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,1,0.0166666666666667,"expert 15 25-10-2019","November 2019"
"24","BENI",20,22,"25-10-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,1,0.0166666666666667,"expert 7 25-10-2019","November 2019"
"25","BENI",22,24,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"26","BENI",22,24,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"27","BENI",22,24,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"28","BENI",24,26,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"29","BENI",24,26,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"30","BENI",24,26,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"31","BENI",26,28,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"32","BENI",26,28,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"33","BENI",26,28,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"34","BENI",28,30,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"35","BENI",28,30,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"36","BENI",28,30,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"37","BENI",30,32,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"38","BENI",30,32,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"39","BENI",30,32,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"40","BENI",32,34,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"41","BENI",32,34,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"42","BENI",32,34,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"43","BENI",34,36,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"44","BENI",34,36,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"45","BENI",34,36,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"46","BENI",36,38,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"47","BENI",36,38,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"48","BENI",36,38,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"49","BENI",38,40,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"50","BENI",38,40,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"51","BENI",38,40,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"52","BENI",4,6,"25-10-2019",6,"15","LSHTM","<2 weeks ago","<5 years",0.3,14,0.233333333333333,"expert 15 25-10-2019","November 2019"
"53","BENI",4,6,"25-10-2019",4,"7","LSHTM","<2 weeks ago","<5 years",0.2,14,0.233333333333333,"expert 7 25-10-2019","November 2019"
"54","BENI",4,6,"25-10-2019",4,"12","LSHTM","<2 weeks ago",">5 years",0.2,14,0.233333333333333,"expert 12 25-10-2019","November 2019"
"55","BENI",40,42,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"56","BENI",40,42,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"57","BENI",40,42,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"58","BENI",42,44,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"59","BENI",42,44,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"60","BENI",42,44,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"61","BENI",44,46,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"62","BENI",44,46,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"63","BENI",44,46,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"64","BENI",46,48,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"65","BENI",46,48,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"66","BENI",46,48,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"67","BENI",48,50,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"68","BENI",48,50,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"69","BENI",48,50,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"70","BENI",6,8,"25-10-2019",2,"7","LSHTM","<2 weeks ago","<5 years",0.1,9,0.15,"expert 7 25-10-2019","November 2019"
"71","BENI",6,8,"25-10-2019",2,"15","LSHTM","<2 weeks ago","<5 years",0.1,9,0.15,"expert 15 25-10-2019","November 2019"
"72","BENI",6,8,"25-10-2019",5,"12","LSHTM","<2 weeks ago",">5 years",0.25,9,0.15,"expert 12 25-10-2019","November 2019"
"73","BENI",8,10,"25-10-2019",4,"12","LSHTM","<2 weeks ago",">5 years",0.2,6,0.1,"expert 12 25-10-2019","November 2019"
"74","BENI",8,10,"25-10-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,6,0.1,"expert 7 25-10-2019","November 2019"
"75","BENI",8,10,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,6,0.1,"expert 15 25-10-2019","November 2019"
"76","GOMA",0,2,"25-10-2019",10,"15","LSHTM","<2 weeks ago","<5 years",0.5,47,0.783333333333333,"expert 15 25-10-2019","November 2019"
"77","GOMA",0,2,"25-10-2019",19,"7","LSHTM","<2 weeks ago","<5 years",0.95,47,0.783333333333333,"expert 7 25-10-2019","November 2019"
"78","GOMA",0,2,"25-10-2019",18,"12","LSHTM","<2 weeks ago",">5 years",0.9,47,0.783333333333333,"expert 12 25-10-2019","November 2019"
"79","GOMA",10,12,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,1,0.0166666666666667,"expert 7 25-10-2019","November 2019"
"80","GOMA",10,12,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,1,0.0166666666666667,"expert 12 25-10-2019","November 2019"
"81","GOMA",10,12,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,1,0.0166666666666667,"expert 15 25-10-2019","November 2019"
"82","GOMA",12,14,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,1,0.0166666666666667,"expert 15 25-10-2019","November 2019"
"83","GOMA",12,14,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,1,0.0166666666666667,"expert 7 25-10-2019","November 2019"
"84","GOMA",12,14,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,1,0.0166666666666667,"expert 12 25-10-2019","November 2019"
"85","GOMA",14,16,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"86","GOMA",14,16,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"87","GOMA",14,16,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"88","GOMA",16,18,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"89","GOMA",16,18,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"90","GOMA",16,18,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"91","GOMA",18,20,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"92","GOMA",18,20,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"93","GOMA",18,20,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"94","GOMA",2,4,"25-10-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,6,0.1,"expert 7 25-10-2019","November 2019"
"95","GOMA",2,4,"25-10-2019",4,"15","LSHTM","<2 weeks ago","<5 years",0.2,6,0.1,"expert 15 25-10-2019","November 2019"
"96","GOMA",2,4,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,6,0.1,"expert 12 25-10-2019","November 2019"
"97","GOMA",20,22,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"98","GOMA",20,22,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"99","GOMA",20,22,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"100","GOMA",22,24,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"101","GOMA",22,24,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"102","GOMA",22,24,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"103","GOMA",24,26,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"104","GOMA",24,26,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"105","GOMA",24,26,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"106","GOMA",26,28,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"107","GOMA",26,28,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"108","GOMA",26,28,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"109","GOMA",28,30,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"110","GOMA",28,30,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"111","GOMA",28,30,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"112","GOMA",30,32,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"113","GOMA",30,32,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"114","GOMA",30,32,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"115","GOMA",32,34,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"116","GOMA",32,34,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"117","GOMA",32,34,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"118","GOMA",34,36,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"119","GOMA",34,36,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"120","GOMA",34,36,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"121","GOMA",36,38,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"122","GOMA",36,38,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"123","GOMA",36,38,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"124","GOMA",38,40,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"125","GOMA",38,40,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"126","GOMA",38,40,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"127","GOMA",4,6,"25-10-2019",2,"15","LSHTM","<2 weeks ago","<5 years",0.1,3,0.05,"expert 15 25-10-2019","November 2019"
"128","GOMA",4,6,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,3,0.05,"expert 12 25-10-2019","November 2019"
"129","GOMA",4,6,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,3,0.05,"expert 7 25-10-2019","November 2019"
"130","GOMA",40,42,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"131","GOMA",40,42,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"132","GOMA",40,42,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"133","GOMA",42,44,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"134","GOMA",42,44,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"135","GOMA",42,44,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"136","GOMA",44,46,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"137","GOMA",44,46,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"138","GOMA",44,46,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"139","GOMA",46,48,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"140","GOMA",46,48,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"141","GOMA",46,48,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"142","GOMA",48,50,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"143","GOMA",48,50,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"144","GOMA",48,50,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"145","GOMA",6,8,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,1,0.0166666666666667,"expert 15 25-10-2019","November 2019"
"146","GOMA",6,8,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,1,0.0166666666666667,"expert 12 25-10-2019","November 2019"
"147","GOMA",6,8,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,1,0.0166666666666667,"expert 7 25-10-2019","November 2019"
"148","GOMA",8,10,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,1,0.0166666666666667,"expert 15 25-10-2019","November 2019"
"149","GOMA",8,10,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,1,0.0166666666666667,"expert 12 25-10-2019","November 2019"
"150","GOMA",8,10,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,1,0.0166666666666667,"expert 7 25-10-2019","November 2019"
"151","KALUNGUTA",0,2,"25-10-2019",6,"15","LSHTM","<2 weeks ago","<5 years",0.3,20,0.333333333333333,"expert 15 25-10-2019","November 2019"
"152","KALUNGUTA",0,2,"25-10-2019",10,"12","LSHTM","<2 weeks ago",">5 years",0.5,20,0.333333333333333,"expert 12 25-10-2019","November 2019"
"153","KALUNGUTA",0,2,"25-10-2019",4,"7","LSHTM","<2 weeks ago","<5 years",0.2,20,0.333333333333333,"expert 7 25-10-2019","November 2019"
"154","KALUNGUTA",10,12,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"155","KALUNGUTA",10,12,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"156","KALUNGUTA",10,12,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"157","KALUNGUTA",12,14,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"158","KALUNGUTA",12,14,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"159","KALUNGUTA",12,14,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"160","KALUNGUTA",14,16,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"161","KALUNGUTA",14,16,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"162","KALUNGUTA",14,16,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"163","KALUNGUTA",16,18,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"164","KALUNGUTA",16,18,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"165","KALUNGUTA",16,18,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"166","KALUNGUTA",18,20,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"167","KALUNGUTA",18,20,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"168","KALUNGUTA",18,20,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"169","KALUNGUTA",2,4,"25-10-2019",8,"12","LSHTM","<2 weeks ago",">5 years",0.4,19,0.316666666666667,"expert 12 25-10-2019","November 2019"
"170","KALUNGUTA",2,4,"25-10-2019",6,"15","LSHTM","<2 weeks ago","<5 years",0.3,19,0.316666666666667,"expert 15 25-10-2019","November 2019"
"171","KALUNGUTA",2,4,"25-10-2019",5,"7","LSHTM","<2 weeks ago","<5 years",0.25,19,0.316666666666667,"expert 7 25-10-2019","November 2019"
"172","KALUNGUTA",20,22,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"173","KALUNGUTA",20,22,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"174","KALUNGUTA",20,22,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"175","KALUNGUTA",22,24,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"176","KALUNGUTA",22,24,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"177","KALUNGUTA",22,24,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"178","KALUNGUTA",24,26,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"179","KALUNGUTA",24,26,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"180","KALUNGUTA",24,26,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"181","KALUNGUTA",26,28,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"182","KALUNGUTA",26,28,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"183","KALUNGUTA",26,28,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"184","KALUNGUTA",28,30,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"185","KALUNGUTA",28,30,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"186","KALUNGUTA",28,30,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"187","KALUNGUTA",30,32,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019","November 2019"
"188","KALUNGUTA",30,32,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019","November 2019"
"189","KALUNGUTA",30,32,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
"190","KALUNGUTA",32,34,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019","November 2019"
