"","expert","HZ","low_bin","high_bin","chips","p","date","institution","last.in.field","experience.ide","expert.date","forecast.month"
"52","10","OICHA",36,38,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"53","10","OICHA",48,50,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"54","10","NYANKUNDE",22,24,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"55","10","OICHA",8,10,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"56","10","OICHA",10,12,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"57","10","OICHA",40,42,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"58","10","OICHA",14,16,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"59","10","OICHA",42,44,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"60","10","OICHA",44,46,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"61","10","OICHA",12,14,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"62","10","NYANKUNDE",12,14,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"63","10","NYANKUNDE",14,16,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"64","10","NYANKUNDE",16,18,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"65","10","OICHA",46,48,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"66","10","NYANKUNDE",20,22,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"67","10","OICHA",30,32,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"68","10","OICHA",32,34,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"69","10","OICHA",34,36,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"70","10","NYANKUNDE",0,2,13,0.65,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"71","10","NYANKUNDE",2,4,7,0.35,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"72","10","NYANKUNDE",4,6,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"73","10","NYANKUNDE",6,8,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"74","10","NYANKUNDE",8,10,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"75","10","NYANKUNDE",10,12,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"76","10","KOMANDA",38,40,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"77","10","KOMANDA",40,42,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"78","10","NYANKUNDE",18,20,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"79","10","KOMANDA",44,46,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"80","10","KOMANDA",46,48,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"81","10","KOMANDA",48,50,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"82","10","NYANKUNDE",24,26,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"83","10","NYANKUNDE",26,28,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"84","10","NYANKUNDE",28,30,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"85","10","NYANKUNDE",30,32,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"86","10","NYANKUNDE",32,34,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"87","10","NYANKUNDE",34,36,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"88","10","NYANKUNDE",36,38,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"89","10","NYANKUNDE",38,40,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"90","10","NYANKUNDE",40,42,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"91","10","KOMANDA",42,44,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"92","10","OICHA",0,2,10,0.5,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"93","10","OICHA",2,4,10,0.5,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"94","10","OICHA",4,6,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"95","10","OICHA",6,8,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"96","10","KOMANDA",0,2,11,0.55,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"97","10","KOMANDA",2,4,9,0.45,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"98","10","KOMANDA",4,6,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"99","10","KOMANDA",6,8,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"100","10","OICHA",16,18,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"101","10","OICHA",18,20,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"102","10","OICHA",20,22,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"103","10","OICHA",22,24,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"104","10","OICHA",24,26,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"105","10","OICHA",26,28,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"106","10","OICHA",28,30,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"107","10","KOMANDA",20,22,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"108","10","KOMANDA",22,24,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"109","10","KOMANDA",24,26,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"110","10","KOMANDA",26,28,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"111","10","KOMANDA",28,30,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"112","10","KOMANDA",30,32,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"113","10","KOMANDA",32,34,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"114","10","KOMANDA",34,36,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"115","10","KOMANDA",36,38,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"116","10","KOMANDA",10,12,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"117","10","KOMANDA",12,14,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"118","10","KOMANDA",14,16,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"119","10","NYANKUNDE",42,44,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"120","10","NYANKUNDE",44,46,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"121","10","NYANKUNDE",46,48,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"122","10","NYANKUNDE",48,50,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"123","10","KOMANDA",8,10,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"124","10","KOMANDA",18,20,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"125","10","KOMANDA",16,18,0,0,"14-11-2019","WHO","<2 weeks ago","<5 years","expert 10 14-11-2019","December 2019"
"126","2","OICHA",30,32,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"127","2","OICHA",28,30,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"128","2","KOMANDA",26,28,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"129","2","KOMANDA",28,30,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"130","2","OICHA",32,34,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"131","2","OICHA",34,36,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"132","2","OICHA",36,38,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"133","2","OICHA",38,40,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"134","2","OICHA",40,42,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"135","2","OICHA",42,44,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"136","2","OICHA",44,46,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"137","2","OICHA",46,48,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"138","2","OICHA",48,50,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"139","2","KOMANDA",22,24,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"140","2","KOMANDA",24,26,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"141","2","OICHA",0,2,12,0.6,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"142","2","OICHA",2,4,5,0.25,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"143","2","OICHA",4,6,2,0.1,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"144","2","OICHA",6,8,1,0.05,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"145","2","OICHA",8,10,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"146","2","OICHA",10,12,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"147","2","OICHA",12,14,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"148","2","OICHA",14,16,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"149","2","OICHA",16,18,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"150","2","OICHA",18,20,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"151","2","OICHA",20,22,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"152","2","OICHA",22,24,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"153","2","OICHA",24,26,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"154","2","OICHA",26,28,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"155","2","KOMANDA",0,2,8,0.4,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"156","2","KOMANDA",2,4,8,0.4,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"157","2","KOMANDA",4,6,2,0.1,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"158","2","KOMANDA",6,8,2,0.1,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"159","2","KOMANDA",8,10,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"160","2","KOMANDA",10,12,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"161","2","KOMANDA",12,14,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"162","2","KOMANDA",14,16,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"163","2","KOMANDA",16,18,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"164","2","KOMANDA",18,20,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"165","2","KOMANDA",20,22,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"166","2","KOMANDA",48,50,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"167","2","KOMANDA",32,34,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"168","2","KOMANDA",34,36,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"169","2","KOMANDA",36,38,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"170","2","KOMANDA",30,32,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"171","2","KOMANDA",40,42,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"172","2","KOMANDA",42,44,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"173","2","KOMANDA",44,46,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"174","2","KOMANDA",38,40,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"175","2","KOMANDA",46,48,0,0,"12-11-2019","WHO","<2 weeks ago",">5 years","expert 2 12-11-2019","December 2019"
"176","3","OICHA",2,4,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"177","3","OICHA",4,6,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"178","3","OICHA",6,8,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"179","3","OICHA",0,2,20,1,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"180","3","KOMANDA",0,2,20,1,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"181","3","KOMANDA",2,4,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"182","3","KOMANDA",4,6,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"183","3","KOMANDA",6,8,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"184","3","KOMANDA",8,10,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"185","3","KOMANDA",10,12,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"186","3","KOMANDA",12,14,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"187","3","KOMANDA",14,16,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"188","3","KOMANDA",16,18,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"189","3","KOMANDA",18,20,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"190","3","KOMANDA",20,22,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"191","3","KOMANDA",22,24,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"192","3","KOMANDA",24,26,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"193","3","KOMANDA",26,28,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"194","3","KOMANDA",28,30,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"195","3","KOMANDA",30,32,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"196","3","KOMANDA",32,34,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"197","3","KOMANDA",34,36,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"198","3","KOMANDA",36,38,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"199","3","KOMANDA",38,40,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"200","3","KOMANDA",40,42,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"201","3","KOMANDA",42,44,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"202","3","KOMANDA",44,46,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"203","3","KOMANDA",46,48,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"204","3","KOMANDA",48,50,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"205","3","LOLWA",22,24,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"206","3","LOLWA",24,26,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"207","3","LOLWA",26,28,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"208","3","LOLWA",28,30,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"209","3","LOLWA",30,32,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"210","3","LOLWA",32,34,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"211","3","OICHA",8,10,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"212","3","OICHA",10,12,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"213","3","OICHA",12,14,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"214","3","OICHA",14,16,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"215","3","OICHA",16,18,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
"216","3","OICHA",18,20,0,0,"15-11-2019","WHO",">2 weeks ago",">5 years","expert 3 15-11-2019","December 2019"
