"","expert","HZ","low_bin","high_bin","chips","p","date","institution","last.in.field","experience.ide","expert.date"
"24","11","MABALAKO",46,48,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"25","11","MABALAKO",48,50,0,0,"25-02-2020","WHO","<2 weeks ago","<5 years","expert 11 25-02-2020"
"26","4","MABALAKO",0,2,13,0.65,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"27","4","MABALAKO",2,4,7,0.35,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"28","4","MABALAKO",4,6,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"29","4","MABALAKO",6,8,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"30","4","MABALAKO",8,10,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"31","4","MABALAKO",10,12,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"32","4","MABALAKO",12,14,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"33","4","MABALAKO",14,16,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"34","4","MABALAKO",16,18,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"35","4","MABALAKO",18,20,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"36","4","MABALAKO",20,22,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"37","4","MABALAKO",22,24,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"38","4","MABALAKO",24,26,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"39","4","MABALAKO",26,28,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"40","4","MABALAKO",28,30,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"41","4","MABALAKO",30,32,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"42","4","MABALAKO",32,34,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"43","4","MABALAKO",34,36,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"44","4","MABALAKO",36,38,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"45","4","MABALAKO",38,40,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"46","4","MABALAKO",40,42,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"47","4","MABALAKO",42,44,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"48","4","MABALAKO",44,46,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"49","4","MABALAKO",46,48,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"50","4","MABALAKO",48,50,0,0,"21-02-2020","WHO","never",">5 years","expert 4 21-02-2020"
"51","8","MABALAKO",0,2,10,0.5,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"52","8","MABALAKO",2,4,4,0.2,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"53","8","MABALAKO",4,6,3,0.15,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"54","8","MABALAKO",6,8,2,0.1,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"55","8","MABALAKO",8,10,1,0.05,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"56","8","MABALAKO",10,12,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"57","8","MABALAKO",12,14,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"58","8","MABALAKO",14,16,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"59","8","MABALAKO",16,18,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"60","8","MABALAKO",18,20,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"61","8","MABALAKO",20,22,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"62","8","MABALAKO",22,24,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"63","8","MABALAKO",24,26,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"64","8","MABALAKO",26,28,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"65","8","MABALAKO",28,30,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"66","8","MABALAKO",30,32,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"67","8","MABALAKO",32,34,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"68","8","MABALAKO",34,36,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"69","8","MABALAKO",36,38,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"70","8","MABALAKO",38,40,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"71","8","MABALAKO",40,42,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"72","8","MABALAKO",42,44,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"73","8","MABALAKO",44,46,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"74","8","MABALAKO",46,48,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
"75","8","MABALAKO",48,50,0,0,"20-02-2020","MSF","<2 weeks ago",">5 years","expert 8 20-02-2020"
